GA_Date,Pageviews,sessionCount
4/1/12,0,0
4/2/12,0,0
4/3/12,0,0
4/4/12,0,0
4/5/12,0,0
4/6/12,0,0
4/7/12,0,0
4/8/12,0,0
4/9/12,0,0
4/10/12,0,0
4/11/12,0,0
4/12/12,0,0
4/13/12,0,0
4/14/12,0,0
4/15/12,0,0
4/16/12,0,0
4/17/12,0,0
4/18/12,0,0
4/19/12,0,0
4/20/12,0,0
4/21/12,0,0
4/22/12,0,0
4/23/12,74,9
4/24/12,414,12
4/25/12,571,14
4/26/12,688,18
4/27/12,557,18
4/28/12,12,6
4/29/12,63,5
4/30/12,132,6
5/1/12,192,14
5/2/12,"1,321",20
5/3/12,903,29
5/4/12,334,14
5/5/12,11,2
5/6/12,0,0
5/7/12,585,24
5/8/12,32,9
5/9/12,170,10
5/10/12,272,19
5/11/12,869,19
5/12/12,6,2
5/13/12,0,0
5/14/12,623,10
5/15/12,305,19
5/16/12,238,12
5/17/12,692,20
5/18/12,550,8
5/19/12,2,1
5/20/12,4,1
5/21/12,125,14
5/22/12,"2,264",313
5/23/12,"5,346",898
5/24/12,"5,365",860
5/25/12,"4,079",633
5/26/12,"2,006",321
5/27/12,"1,739",336
5/28/12,"3,746",645
5/29/12,"6,645","1,083"
5/30/12,"5,034",842
5/31/12,"4,286",744
6/1/12,"3,472",596
6/2/12,"1,858",328
6/3/12,"2,222",393
6/4/12,"4,815",765
6/5/12,"5,637",805
6/6/12,"4,490",776
6/7/12,"4,561",731
6/8/12,"2,852",504
6/9/12,"1,410",266
6/10/12,"1,904",357
6/11/12,"4,873",762
6/12/12,"4,333",751
6/13/12,"4,147",713
6/14/12,"3,559",616
6/15/12,"2,832",482
6/16/12,"1,457",281
6/17/12,"1,743",325
6/18/12,"5,139",843
6/19/12,"4,140",718
6/20/12,"3,830",645
6/21/12,"6,354","1,025"
6/22/12,"3,485",638
6/23/12,"1,328",271
6/24/12,"2,131",371
6/25/12,"4,954",809
6/26/12,"4,273",706
6/27/12,"4,337",752
6/28/12,"4,035",703
6/29/12,"2,809",488
6/30/12,"1,583",298
7/1/12,"1,712",316
7/2/12,"4,571",816
7/3/12,"3,416",601
7/4/12,"1,812",354
7/5/12,"3,469",594
7/6/12,"2,982",512
7/7/12,"1,549",285
7/8/12,"2,011",371
7/9/12,"4,583",784
7/10/12,"4,740",761
7/11/12,"4,051",676
7/12/12,"4,118",651
7/13/12,"3,831",638
7/14/12,"1,618",286
7/15/12,"1,800",341
7/16/12,"4,781",810
7/17/12,"3,901",689
7/18/12,"3,937",682
7/19/12,"3,690",616
7/20/12,"2,516",463
7/21/12,"1,129",242
7/22/12,"1,645",319
7/23/12,"4,084",707
7/24/12,"3,772",689
7/25/12,"3,340",632
7/26/12,"3,444",654
7/27/12,"2,802",541
7/28/12,"1,564",314
7/29/12,"1,609",302
7/30/12,"4,094",732
7/31/12,"4,117",726
8/1/12,"3,416",662
8/2/12,"3,472",681
8/3/12,"3,162",521
8/4/12,"1,500",298
8/5/12,"1,745",359
8/6/12,"4,527",748
8/7/12,"4,087",727
8/8/12,"3,650",687
8/9/12,"3,926",663
8/10/12,"2,953",531
8/11/12,"1,601",314
8/12/12,"1,643",342
8/13/12,"5,879","1,094"
8/14/12,"4,243",777
8/15/12,"3,922",732
8/16/12,"3,300",618
8/17/12,"2,992",535
8/18/12,"1,324",268
8/19/12,"2,174",376
8/20/12,"4,233",807
8/21/12,"4,391",794
8/22/12,"3,857",683
8/23/12,"3,965",724
8/24/12,"2,935",534
8/25/12,"1,651",297
8/26/12,"1,870",321
8/27/12,"4,287",759
8/28/12,"4,038",708
8/29/12,"3,762",693
8/30/12,"2,988",565
8/31/12,"1,995",404
9/1/12,"1,105",226
9/2/12,"1,479",284
9/3/12,"2,106",395
9/4/12,"4,086",716
9/5/12,"3,719",700
9/6/12,"3,884",729
9/7/12,"3,649",641
9/8/12,"1,451",293
9/9/12,"1,908",388
9/10/12,"4,400",771
9/11/12,"4,454",787
9/12/12,"3,883",691
9/13/12,"5,374","1,053"
9/14/12,"2,733",544
9/15/12,"1,368",264
9/16/12,"1,984",372
9/17/12,"4,556",824
9/18/12,"4,963",846
9/19/12,"6,652","1,204"
9/20/12,"4,374",838
9/21/12,"3,136",569
9/22/12,"1,891",336
9/23/12,"1,935",365
9/24/12,"4,516",788
9/25/12,"3,940",689
9/26/12,"4,502",984
9/27/12,"3,806",724
9/28/12,"2,740",515
9/29/12,"1,472",290
9/30/12,"1,621",306
10/1/12,"4,028",710
10/2/12,"3,677",651
10/3/12,"3,884",652
10/4/12,"3,132",542
10/5/12,"2,420",465
10/6/12,"1,214",238
10/7/12,"1,595",301
10/8/12,"3,145",574
10/9/12,"3,815",685
10/10/12,"3,654",675
10/11/12,"3,017",596
10/12/12,"2,463",478
10/13/12,"1,343",273
10/14/12,"1,732",405
10/15/12,"4,208",810
10/16/12,"4,333",817
10/17/12,"3,809",705
10/18/12,"3,846",750
10/19/12,"2,958",579
10/20/12,"1,257",247
10/21/12,"1,805",357
10/22/12,"3,967",772
10/23/12,"4,230",811
10/24/12,"3,783",713
10/25/12,"3,740",686
10/26/12,"2,728",536
10/27/12,"1,291",271
10/28/12,"1,614",331
10/29/12,"3,595",677
10/30/12,"4,319",701
10/31/12,"3,205",591
11/1/12,"3,135",599
11/2/12,"2,842",594
11/3/12,"1,519",303
11/4/12,"1,988",414
11/5/12,"4,299",836
11/6/12,"3,761",768
11/7/12,"4,677",858
11/8/12,"4,459",846
11/9/12,"3,685",714
11/10/12,"2,082",397
11/11/12,"4,080",772
11/12/12,"6,124","1,076"
11/13/12,"5,359","1,037"
11/14/12,"5,458",990
11/15/12,"4,255",839
11/16/12,"3,304",618
11/17/12,"2,754",441
11/18/12,"2,043",412
11/19/12,"4,611",831
11/20/12,"3,588",649
11/21/12,"2,089",393
11/22/12,979,215
11/23/12,"1,508",294
11/24/12,"1,806",316
11/25/12,"1,937",409
11/26/12,"4,775",861
11/27/12,"4,519",850
11/28/12,"6,023","1,054"
11/29/12,"5,878","1,058"
11/30/12,"3,562",676
12/1/12,"1,499",302
12/2/12,"2,168",429
12/3/12,"4,918",900
12/4/12,"3,932",832
12/5/12,"4,186",806
12/6/12,"3,756",738
12/7/12,"2,986",563
12/8/12,"1,552",313
12/9/12,"2,016",416
12/10/12,"4,269",850
12/11/12,"3,931",738
12/12/12,"3,880",746
12/13/12,"3,505",685
12/14/12,"2,144",475
12/15/12,"1,316",265
12/16/12,"1,468",315
12/17/12,"5,091","1,009"
12/18/12,"3,716",699
12/19/12,"4,421",838
12/20/12,"3,708",770
12/21/12,"2,599",484
12/22/12,"1,410",295
12/23/12,"1,176",265
12/24/12,"1,160",262
12/25/12,984,211
12/26/12,"2,949",546
12/27/12,"3,379",649
12/28/12,"2,676",505
12/29/12,"1,641",331
12/30/12,"1,620",335
12/31/12,"2,365",439
1/1/13,"1,866",387
1/2/13,"9,973","1,749"
1/3/13,"4,780",860
1/4/13,"2,989",620
1/5/13,"1,718",386
1/6/13,"2,200",464
1/7/13,"4,507",892
1/8/13,"4,315",881
1/9/13,"4,708",923
1/10/13,"3,398",715
1/11/13,"3,632",657
1/12/13,"1,377",322
1/13/13,"2,016",423
1/14/13,"4,263",824
1/15/13,"4,815",944
1/16/13,"4,182",812
1/17/13,"3,556",735
1/18/13,"2,892",539
1/19/13,"1,460",292
1/20/13,"1,467",359
1/21/13,"3,167",629
1/22/13,"3,937",800
1/23/13,"3,508",752
1/24/13,"3,446",729
1/25/13,"2,647",552
1/26/13,"1,679",362
1/27/13,"1,801",452
1/28/13,"4,173",838
1/29/13,"5,036","1,051"
1/30/13,"4,008",864
1/31/13,"3,304",721
2/1/13,"2,603",560
2/2/13,"1,303",287
2/3/13,"1,345",326
2/4/13,"3,497",755
2/5/13,"3,607",780
2/6/13,"3,556",751
2/7/13,"3,264",699
2/8/13,"2,413",560
2/9/13,"1,412",300
2/10/13,"1,603",368
2/11/13,"3,865",761
2/12/13,"3,634",776
2/13/13,"3,941",864
2/14/13,"3,061",677
2/15/13,"2,473",528
2/16/13,"1,221",320
2/17/13,"1,507",372
2/18/13,"3,091",716
2/19/13,"4,514",937
2/20/13,"4,685","1,015"
2/21/13,"3,569",771
2/22/13,"2,865",580
2/23/13,"1,381",333
2/24/13,"1,690",431
2/25/13,"3,741",882
2/26/13,"4,117",996
2/27/13,"4,776","1,014"
2/28/13,"4,473",952
3/1/13,"3,664",757
3/2/13,"2,529",534
3/3/13,"2,567",652
3/4/13,"5,086","1,088"
3/5/13,"4,651","1,030"
3/6/13,"4,348","1,019"
3/7/13,"4,019",921
3/8/13,"2,989",743
3/9/13,"1,588",429
3/10/13,"1,847",509
3/11/13,"4,706",993
3/12/13,"4,231","1,044"
3/13/13,"4,469","1,106"
3/14/13,"3,861",932
3/15/13,"3,329",774
3/16/13,"1,485",400
3/17/13,"2,132",585
3/18/13,"4,584","1,133"
3/19/13,"5,283","1,263"
3/20/13,"4,735","1,160"
3/21/13,"4,184","1,003"
3/22/13,"3,108",723
3/23/13,"1,537",403
3/24/13,"2,246",577
3/25/13,"4,967","1,188"
3/26/13,"4,797","1,144"
3/27/13,"9,573","1,928"
3/28/13,"4,251",992
3/29/13,"2,859",696
3/30/13,"1,757",476
3/31/13,"2,146",613
4/1/13,"4,875","1,218"
4/2/13,"5,299","1,312"
4/3/13,"4,779","1,266"
4/4/13,"4,277","1,106"
4/5/13,"2,939",751
4/6/13,"1,741",482
4/7/13,"2,399",637
4/8/13,"4,698","1,161"
4/9/13,"4,746","1,154"
4/10/13,"4,447","1,182"
4/11/13,"4,077","1,090"
4/12/13,"3,559",902
4/13/13,"1,744",486
4/14/13,"2,340",718
4/15/13,"4,577","1,218"
4/16/13,"4,892","1,277"
4/17/13,"4,652","1,270"
4/18/13,"4,190","1,152"
4/19/13,"3,012",793
4/20/13,"1,730",462
4/21/13,"2,307",692
4/22/13,"5,134","1,329"
4/23/13,"5,133","1,349"
4/24/13,"4,904","1,332"
4/25/13,"4,666","1,285"
4/26/13,"3,376",905
4/27/13,"1,580",472
4/28/13,"2,236",735
4/29/13,"4,840","1,314"
4/30/13,"5,154","1,381"
5/1/13,"4,316","1,220"
5/2/13,"4,485","1,244"
5/3/13,"3,833",918
5/4/13,"2,085",588
5/5/13,"2,446",736
5/6/13,"5,305","1,374"
5/7/13,"5,839","1,457"
5/8/13,"5,069","1,395"
5/9/13,"4,828","1,327"
5/10/13,"3,202",950
5/11/13,"1,662",494
5/12/13,"2,496",784
5/13/13,"5,625","1,465"
5/14/13,"4,963","1,471"
5/15/13,"5,106","1,423"
5/16/13,"4,533","1,332"
5/17/13,"3,238",964
5/18/13,"2,111",613
5/19/13,"2,458",773
5/20/13,"5,296","1,435"
5/21/13,"5,231","1,509"
5/22/13,"6,370","1,908"
5/23/13,"6,321","1,921"
5/24/13,"4,491","1,432"
5/25/13,"2,666",905
5/26/13,"3,625","1,267"
5/27/13,"8,193","2,343"
5/28/13,"8,622","2,204"
5/29/13,"6,714","1,872"
5/30/13,"5,500","1,636"
5/31/13,"3,795","1,118"
6/1/13,"2,227",693
6/2/13,"2,819",973
6/3/13,"5,634","1,658"
6/4/13,"5,510","1,582"
6/5/13,"6,073","1,681"
6/6/13,"5,467","1,573"
6/7/13,"4,583","1,239"
6/8/13,"2,161",648
6/9/13,"3,125","1,029"
6/10/13,"6,271","1,817"
6/11/13,"6,522","1,831"
6/12/13,"5,948","1,820"
6/13/13,"5,264","1,567"
6/14/13,"3,904","1,157"
6/15/13,"2,523",765
6/16/13,"3,052",984
6/17/13,"6,759","1,874"
6/18/13,"6,514","1,988"
6/19/13,"6,094","1,854"
6/20/13,"5,548","1,645"
6/21/13,"4,182","1,166"
6/22/13,"2,390",732
6/23/13,"2,825",969
6/24/13,"6,592","1,885"
6/25/13,"6,430","1,908"
6/26/13,"5,884","1,766"
6/27/13,"5,700","1,634"
6/28/13,"4,118","1,183"
6/29/13,"2,337",783
6/30/13,"4,793","1,207"
7/1/13,"6,395","1,748"
7/2/13,"6,015","1,679"
7/3/13,"4,798","1,519"
7/4/13,"3,112","1,029"
7/5/13,"3,722","1,068"
7/6/13,"2,614",751
7/7/13,"3,940","1,156"
7/8/13,"7,541","2,003"
7/9/13,"7,648","1,934"
7/10/13,"7,242","1,952"
7/11/13,"7,922","2,009"
7/12/13,"5,169","1,356"
7/13/13,"3,261",909
7/14/13,"3,813","1,088"
7/15/13,"7,336","1,927"
7/16/13,"7,004","1,923"
7/17/13,"7,124","1,963"
7/18/13,"5,735","1,687"
7/19/13,"5,127","1,333"
7/20/13,"2,918",839
7/21/13,"4,186","1,241"
7/22/13,"7,508","2,065"
7/23/13,"7,603","2,050"
7/24/13,"7,593","2,058"
7/25/13,"5,693","1,693"
7/26/13,"4,932","1,285"
7/27/13,"2,931",824
7/28/13,"4,194","1,210"
7/29/13,"8,270","2,094"
7/30/13,"7,249","2,019"
7/31/13,"6,974","1,905"
8/1/13,"5,545","1,708"
8/2/13,"2,900",839
8/3/13,"3,207",867
8/4/13,"3,884","1,104"
8/5/13,"7,799","1,995"
8/6/13,"7,241","1,940"
8/7/13,"6,916","2,009"
8/8/13,"6,313","1,698"
8/9/13,"4,694","1,292"
8/10/13,"2,861",841
8/11/13,"3,755","1,174"
8/12/13,"7,262","1,996"
8/13/13,"7,678","2,123"
8/14/13,"6,505","1,933"
8/15/13,"5,662","1,709"
8/16/13,"5,099","1,526"
8/17/13,"2,890",907
8/18/13,"4,063","1,279"
8/19/13,"7,867","2,172"
8/20/13,"7,441","2,033"
8/21/13,"7,052","2,044"
8/22/13,"6,982","2,030"
8/23/13,"5,058","1,384"
8/24/13,"2,827",850
8/25/13,"3,683","1,088"
8/26/13,"7,210","1,969"
8/27/13,"6,705","1,974"
8/28/13,"6,453","1,938"
8/29/13,"5,503","1,625"
8/30/13,"4,114","1,171"
8/31/13,"2,162",664
9/1/13,"2,876",952
9/2/13,"3,984","1,275"
9/3/13,"6,027","1,812"
9/4/13,"5,877","1,806"
9/5/13,"6,066","1,782"
9/6/13,"4,449","1,308"
9/7/13,"2,561",748
9/8/13,"3,220","1,098"
9/9/13,"6,579","1,927"
9/10/13,"6,677","1,977"
9/11/13,"6,434","1,922"
9/12/13,"6,136","1,882"
9/13/13,"4,395","1,341"
9/14/13,"2,284",758
9/15/13,"3,120","1,061"
9/16/13,"6,489","1,954"
9/17/13,"6,576","1,926"
9/18/13,"6,129","1,882"
9/19/13,"5,724","1,724"
9/20/13,"4,130","1,229"
9/21/13,"2,445",765
9/22/13,"3,332","1,111"
9/23/13,"6,101","1,797"
9/24/13,"5,983","1,811"
9/25/13,"6,168","1,816"
9/26/13,"5,685","1,693"
9/27/13,"3,981","1,246"
9/28/13,"2,375",844
9/29/13,"3,484","1,271"
9/30/13,"7,119","2,199"
10/1/13,"6,592","2,112"
10/2/13,"6,628","2,155"
10/3/13,"5,998","1,987"
10/4/13,"4,809","1,468"
10/5/13,"2,836",969
10/6/13,"3,647","1,291"
10/7/13,"7,536","2,266"
10/8/13,"7,248","2,284"
10/9/13,"6,842","2,231"
10/10/13,"6,089","1,959"
10/11/13,"4,394","1,357"
10/12/13,"2,227",759
10/13/13,"3,047","1,105"
10/14/13,"6,153","1,923"
10/15/13,"6,722","2,103"
10/16/13,"6,711","2,133"
10/17/13,"6,242","2,000"
10/18/13,"4,880","1,463"
10/19/13,"2,436",841
10/20/13,"3,591","1,314"
10/21/13,"7,367","2,330"
10/22/13,"7,151","2,374"
10/23/13,"7,311","2,351"
10/24/13,"6,493","2,074"
10/25/13,"4,660","1,477"
10/26/13,"2,525",863
10/27/13,"3,781","1,313"
10/28/13,"7,254","2,253"
10/29/13,"7,594","2,427"
10/30/13,"7,275","2,344"
10/31/13,"5,266","1,830"
11/1/13,"4,355","1,432"
11/2/13,"2,566",891
11/3/13,"4,744","1,555"
11/4/13,"7,890","2,532"
11/5/13,"8,174","2,612"
11/6/13,"8,352","2,687"
11/7/13,"7,728","2,502"
11/8/13,"5,768","1,830"
11/9/13,"3,195","1,128"
11/10/13,"4,809","1,637"
11/11/13,"25,023","8,633"
11/12/13,"11,859","3,407"
11/13/13,"9,800","3,038"
11/14/13,"7,735","2,493"
11/15/13,"5,878","1,881"
11/16/13,"3,376","1,167"
11/17/13,"4,954","1,820"
11/18/13,"8,367","2,680"
11/19/13,"8,520","2,849"
11/20/13,"7,840","2,646"
11/21/13,"7,730","2,615"
11/22/13,"5,827","1,870"
11/23/13,"3,324","1,161"
11/24/13,"4,691","1,686"
11/25/13,"6,973","2,365"
11/26/13,"6,651","2,303"
11/27/13,"5,139","1,886"
11/28/13,"3,433","1,336"
11/29/13,"3,347","1,143"
11/30/13,"2,835",985
12/1/13,"3,842","1,386"
12/2/13,"8,786","2,709"
12/3/13,"7,700","2,560"
12/4/13,"7,409","2,430"
12/5/13,"6,319","2,085"
12/6/13,"4,549","1,430"
12/7/13,"2,691",987
12/8/13,"4,066","1,476"
12/9/13,"7,296","2,302"
12/10/13,"6,881","2,277"
12/11/13,"6,823","2,239"
12/12/13,"5,774","1,889"
12/13/13,"4,198","1,378"
12/14/13,"2,486",878
12/15/13,"3,585","1,310"
12/16/13,"6,192","1,974"
12/17/13,"5,761","1,925"
12/18/13,"5,521","1,702"
12/19/13,"4,791","1,527"
12/20/13,"4,301","1,222"
12/21/13,"2,475",730
12/22/13,"2,659",840
12/23/13,"4,314","1,222"
12/24/13,"2,601",699
12/25/13,"1,805",587
12/26/13,"3,707","1,085"
12/27/13,"3,447",989
12/28/13,"2,462",739
12/29/13,"3,135",896
12/30/13,"4,162","1,161"
12/31/13,"2,435",715
1/1/14,"2,929",872
1/2/14,"5,565","1,531"
1/3/14,"4,738","1,346"
1/4/14,"3,201",943
1/5/14,"4,405","1,438"
1/6/14,"6,845","2,025"
1/7/14,"7,456","2,246"
1/8/14,"7,490","2,327"
1/9/14,"7,385","2,316"
1/10/14,"5,887","1,726"
1/11/14,"3,286","1,124"
1/12/14,"4,824","1,658"
1/13/14,"9,699","2,770"
1/14/14,"8,549","2,607"
1/15/14,"8,529","2,616"
1/16/14,"7,388","2,329"
1/17/14,"5,044","1,639"
1/18/14,"3,021","1,036"
1/19/14,"4,152","1,536"
1/20/14,"6,742","2,255"
1/21/14,"7,360","2,423"
1/22/14,"7,589","2,539"
1/23/14,"7,537","2,450"
1/24/14,"5,914","1,773"
1/25/14,"3,185","1,114"
1/26/14,"4,335","1,503"
1/27/14,"8,124","2,433"
1/28/14,"7,289","2,363"
1/29/14,"7,563","2,351"
1/30/14,"6,725","2,112"
1/31/14,"5,130","1,605"
2/1/14,"3,006","1,002"
2/2/14,"3,998","1,451"
2/3/14,"7,194","2,344"
2/4/14,"7,613","2,413"
2/5/14,"7,460","2,464"
2/6/14,"7,388","2,426"
2/7/14,"5,282","1,781"
2/8/14,"3,205","1,129"
2/9/14,"4,698","1,637"
2/10/14,"7,608","2,556"
2/11/14,"7,818","2,600"
2/12/14,"7,134","2,418"
2/13/14,"6,369","2,106"
2/14/14,"4,212","1,417"
2/15/14,"2,812",965
2/16/14,"3,735","1,370"
2/17/14,"6,330","2,164"
2/18/14,"7,077","2,401"
2/19/14,"7,153","2,389"
2/20/14,"6,637","2,259"
2/21/14,"5,063","1,678"
2/22/14,"3,018","1,034"
2/23/14,"4,442","1,571"
2/24/14,"7,109","2,446"
2/25/14,"7,891","2,539"
2/26/14,"7,687","2,497"
2/27/14,"6,377","2,172"
2/28/14,"5,141","1,656"
3/1/14,"2,916","1,068"
3/2/14,"4,545","1,657"
